"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"DateAndPersonAssignment to PropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyDefinitionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyDefinitionString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyValue (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyValueAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PropertyValueRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Proxy (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementSource (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to RequirementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SecurityClassification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SecurityClassificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SetMembership (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Specification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationCategory (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationCategoryAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationConditionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationInclusion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SpecificationInclusionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to StyledModel (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to SubsetMember (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to TimeIntervalAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ViewOccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to WorkOrder (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to WorkOrderAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to WorkRequest (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to WorkRequestAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Class (as role)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ClassString (as role)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ExternalClass (as role)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ExternalOwlClass (as role)";"NO MAPPING PROVIDED";;;
"DateAndPersonOrganization";;"NO MAPPING PROVIDED";;;
;"DateAndPersonOrganization to DateTimeString (as date)";"NO MAPPING PROVIDED";;;
;"DateAndPersonOrganization to Organization (as personOrOrganization)";"NO MAPPING PROVIDED";;;
;"DateAndPersonOrganization to PersonInOrganization (as personOrOrganization)";"NO MAPPING PROVIDED";;;
"DateTimeAssignment";;"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DateTimeString (as assignedDate)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ActivityAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ActivityMethodAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ActivityMethodRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ActivityRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to AddressAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to AlternativeSolution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to AlternativeSolutionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Approval (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ApprovalAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ApprovalRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ApprovingPersonOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Breakdown (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElementRealization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownElementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownVersionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to BreakdownVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Certification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to CertificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Class (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ClassString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Classification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Condition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ConditionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ConditionalConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
