"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"DocumentAssignment to PropertyValueRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Proxy (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Requirement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementSource (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RequirementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to RetentionPeriod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SecurityClassification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SecurityClassificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ShapeElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ShapeElementRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Specification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SpecificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SpecificationCategory (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SpecificationCategoryAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SpecificationConditionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SpecificationInclusionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to SurfaceCondition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to TimeInterval (as assignedTo)";"NO MAPPING PROVIDED";;;
