"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"PartToIndividualPartAssociation to TranslatedStringSet (as description)";"";"";"";""
"";"PartToIndividualPartAssociation to Class (as role)";"";"";"";""
"";"PartToIndividualPartAssociation to ClassString (as role)";"";"";"";""
"";"PartToIndividualPartAssociation to ExternalClass (as role)";"";"";"";""
"";"PartToIndividualPartAssociation to ExternalOwlClass (as role)";"";"";"";""
"PartVersionToIndividualPartVersionAssociation";"";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to IndividualPartVersion (as associatedInduvidualPart)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to PartVersion (as associatedPart)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to ProductConfiguration (as associatedPart)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to Classification (as classifiedAs)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to CharacterString (as description)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to Descriptor (as description)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to DescriptorSet (as description)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to LocalizedString (as description)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to TranslatedStringSet (as description)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to Class (as role)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to ClassString (as role)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to ExternalClass (as role)";"";"";"";""
"";"PartVersionToIndividualPartVersionAssociation to ExternalOwlClass (as role)";"";"";"";""
"PartViewToIndividualPartViewAssociation";"";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to IndividualPartView (as associatedInduvidualPart)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to PartView (as associatedPart)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to ProductConfiguration (as associatedPart)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to Classification (as classifiedAs)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to CharacterString (as description)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to Descriptor (as description)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to DescriptorSet (as description)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to LocalizedString (as description)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to TranslatedStringSet (as description)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to Class (as role)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to ClassString (as role)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to ExternalClass (as role)";"";"";"";""
"";"PartViewToIndividualPartViewAssociation to ExternalOwlClass (as role)";"";"";"";""
"PlannedIndividualPart";"";"";"";"";""
"ProductPlannedToRealized";"";"";"";"";""
"";"ProductPlannedToRealized to RealizedIndividualPart (as related)";"";"";"";""
"";"ProductPlannedToRealized to PlannedIndividualPart (as relating)";"";"";"";""
"RealizedIndividualPart";"";"";"";"";""
