"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"WorkRequest to IndividualPartVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IndividualPartView (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IndividualPartViewRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to InformationUsageRightAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to MaterialIdentification (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to MaterialPropertyAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ModelPropertyAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Occurrence (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to OccurrenceRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Organization (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to OrganizationOrPersonInOrganizationAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Part (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PartVersion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PartVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PartView (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PartViewRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Person (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PersonInOrganization (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProcessOperationDefinition (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProcessOperationOccurrence (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProcessOperationResourceAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProcessPlan (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProductClass (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProductConfiguration (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Project (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProjectAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ProjectRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PropertyDefinitionAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PropertyDefinitionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PropertyValue (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PropertyValueAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to PropertyValueRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Requirement (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to RequirementAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to RequirementVersion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to RequirementVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to RequirementView (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to RequirementViewRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SecurityClassificationAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Specification (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationCategory (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationCategoryAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationConditionAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationInclusion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to SpecificationInclusionAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to StyledModel (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to TimeIntervalAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ViewOccurrenceRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to WorkOrderAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to WorkRequestAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Class (as status)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ClassString (as status)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ExternalClass (as status)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ExternalOwlClass (as status)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Identifier (as versionId)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IdentifierSet (as versionId)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IdentifierString (as versionId)";"NO MAPPING PROVIDED";;;
"WorkRequestAssignment";;"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Breakdown (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to BreakdownElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to BreakdownElementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to BreakdownElementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to BreakdownElementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to BreakdownVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Contract (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Document (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to DocumentDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to DocumentDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to DocumentVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to File (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to IndividualPart (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to IndividualPartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to IndividualPartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to IndividualPartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Organization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Part (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to PartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to PartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to PartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Person (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to PersonInOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to ProductConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Project (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Requirement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to RequirementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
