BO;Attribute;ARM Element;Source;Rules;Reference path
;RequirementSatisfactionAssertion to AssemblyOccurrenceRelationshipSubstitution (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to AssemblyViewRelationship (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to AssemblyViewRelationshipSubstitution (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to Breakdown (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product 
Product =>
Breakdown"
;RequirementSatisfactionAssertion to BreakdownElement (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product
Product =>
Breakdown_element"
;RequirementSatisfactionAssertion to BreakdownElementRealization (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to BreakdownElementRelationship (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to BreakdownElementVersion (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_version 
Product_version =>
Breakdown_element_version"
;RequirementSatisfactionAssertion to BreakdownElementView (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_view_definition
Product_view_definition =>
Breakdown_element_definition"
;RequirementSatisfactionAssertion to BreakdownVersion (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_version
Product_version =>
Breakdown_version"
;RequirementSatisfactionAssertion to Document (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product
Product =>
Document"
;RequirementSatisfactionAssertion to DocumentDefinition (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_view_definition
Product_view_definition =>
Document_definition"
;RequirementSatisfactionAssertion to DocumentVersion (as satisfiedBy);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product_version
Product_version =>
Document_version"
