BO;Attribute;ARM Element;Source;Rules;Reference path;;
;DocumentDefinition to ProxyString (as sameAs);PATH;;;"Document_definition <=
Product_view_definition
/sameAs_AS_ProxyString(Product_view_definition)/";;;;;;  END_ENTITY;
DocumentDefinitionRelationship;;Document_definition_relationship;;;;;;;;;
;DocumentDefinitionRelationship to Classification (as classifiedAs);PATH;;;/classifiedAs_AS_Classification(/MAPPING_OF(DocumentDefinitionRelationship)/)/;;;;;;
;DocumentDefinitionRelationship to CharacterString (as description);Document_definition_relationship.description;;;;;;;;;
;DocumentDefinitionRelationship to Descriptor (as description);PATH;;;/description_AS_Descriptor(DocumentDefinitionRelationship)/;;;;;;
;DocumentDefinitionRelationship to DescriptorSet (as description);PATH;;;"
/description_AS_DescriptorSet(DocumentDefinitionRelationship)/";;;;;;
;DocumentDefinitionRelationship to LocalizedString (as description);PATH;;;/description_AS_LocalizedString(DocumentDefinitionRelationship)/;;;;;;
;DocumentDefinitionRelationship to TranslatedStringSet (as description);PATH;;;/description_AS_TranslatedStringSet(DocumentDefinitionRelationship)/;;;;;;
;DocumentDefinitionRelationship to Identifier (as id);NO MAPPING;;;;;;;;;
;DocumentDefinitionRelationship to IdentifierSet (as id);NO MAPPING;;;;;;;;;
;DocumentDefinitionRelationship to IdentifierString (as id);NO MAPPING;;;;;;;;;
;DocumentDefinitionRelationship to DocumentDefinition (as related);PATH;;;"Document_definition_relationship.related ->
Document_definition";;;;;;
;DocumentDefinitionRelationship to DocumentDefinition (as relating);PATH;;;"Document_definition_relationship.relating ->
Document_definition";;;;;;
;DocumentDefinitionRelationship to Class (as relationType);PATH;;;"
/TYPEINFO_AS_Class(DocumentDefinitionRelationship; 'relation type')/";;;;;;
;DocumentDefinitionRelationship to ClassString (as relationType);Document_definition_relationship.relation_type;;;;;;;;;
;DocumentDefinitionRelationship to ExternalClass (as relationType);PATH;;;"
/TYPEINFO_AS_ExternalClass(DocumentDefinitionRelationship; 'relation type')/"
;DocumentDefinitionRelationship to ExternalOwlClass (as relationType);PATH;;;"
/TYPEINFO_AS_ExternalOwlClass(DocumentDefinitionRelationship; 'relation type')/"
File;;File;;;
;File to Classification (as classifiedAs);NO MAPPING;;;
;File to CharacterString (as description);NO MAPPING;;;
;File to Descriptor (as description);NO MAPPING;;;
;File to DescriptorSet (as description);NO MAPPING;;;
;File to LocalizedString (as description);NO MAPPING;;;
;File to TranslatedStringSet (as description);NO MAPPING;;;
;File to ContentProperty (as fileContent);PATH;;;"File
document_property_item = File
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'content property'}"
;File to CreationProperty (as fileCreation);PATH;;;"File
document_property_item = File
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'creation property'}"
;File to FormatProperty (as fileFormat);PATH;;;"File
document_property_item = File
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'format property'}"
;File to SizeProperty (as fileSize);PATH;;;"File
document_property_item = File
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'size property'}"
;File to Class (as fileType);PATH;;;"/TYPEINFO_AS_Class(File; 'file type')/"
;File to ClassString (as fileType);File.contained_data_type;;;
;File to ExternalClass (as fileType);PATH;;;"/TYPEINFO_AS_ExternalClass(File; 'file type')/"
;File to ExternalOwlClass (as fileType);PATH;;;"/TYPEINFO_AS_ExternalOwlClass(File; 'file type')/";;
;File to Identifier (as id);File.id;;;;;
;File to IdentifierSet (as id);NO MAPPING;;;;;
;File to IdentifierString (as id);NO MAPPING;;;;;
;File to ExternalItem (as locations);NO MAPPING;;;;;
;File to Identifier (as versionId);File.version;;;;;
;File to IdentifierSet (as versionId);NO MAPPING;;;;;
;File to IdentifierString (as versionId);NO MAPPING;;;;;
FileRelationship;;File_relationship;;;;;
;FileRelationship to Classification (as classifiedAs);PATH;;;/classifiedAs_AS_Classification(/MAPPING_OF(FileRelationship)/)/;;
;FileRelationship to CharacterString (as description);File_relationship.description;;;;;
;FileRelationship to Descriptor (as description);PATH;;;/description_AS_Descriptor(FileRelationship)/;;
;FileRelationship to DescriptorSet (as description);PATH;;;"
/description_AS_DescriptorSet(FileRelationship)/";;
;FileRelationship to LocalizedString (as description);PATH;;;/description_AS_LocalizedString(FileRelationship)/;;
;FileRelationship to TranslatedStringSet (as description);PATH;;;/description_AS_TranslatedStringSet(FileRelationship)/;;
;FileRelationship to Identifier (as id);NO MAPPING;;;;;
;FileRelationship to IdentifierSet (as id);NO MAPPING;;;;;
;FileRelationship to IdentifierString (as id);NO MAPPING;;;;;
;FileRelationship to File (as related);PATH;;;"File_relationship.related ->
File";;
;FileRelationship to File (as relating);PATH;;;"File_relationship.relating ->
File";;
;FileRelationship to Class (as relationType);PATH;;;"/TYPEINFO_AS_Class(FileRelationship; 'relation type')/";;
;FileRelationship to ClassString (as relationType);File_relationship.relation_type;;;;;
;FileRelationship to ExternalClass (as relationType);PATH;;;"/TYPEINFO_AS_ExternalClass(FileRelationship; 'relation type')/";;
;FileRelationship to ExternalOwlClass (as relationType);PATH;;;"/TYPEINFO_AS_ExternalOwlClass(FileRelationship; 'relation type')/";;
FormatProperty;;Assigned_document_property;;;"{[Assigned_document_property.described_element ->
(document_property_item = Document_definition)
(document_property_item = File)]
[Assigned_document_property <=
Assigned_property.description = 'format property']}";;
;FormatProperty to Class (as characterCode);NO MAPPING;;;;;
;FormatProperty to ClassString (as characterCode);NO MAPPING;;;;;
;FormatProperty to ExternalClass (as characterCode);PATH;;;"/TYPEINFO_AS_ExternalClass(FormatProperty; 'character code')/";;
;FormatProperty to ExternalOwlClass (as characterCode);PATH;;;"/TYPEINFO_AS_ExternalOwlClass(FormatProperty; 'character code')/";;
;FormatProperty to Class (as dataFormat);NO MAPPING;;;;;
;FormatProperty to ClassString (as dataFormat);NO MAPPING;;;;;
;FormatProperty to ExternalClass (as dataFormat);NO MAPPING;;;;;
;FormatProperty to ExternalOwlClass (as dataFormat);NO MAPPING;;;
;FormatProperty to CharacterString (as description);PATH;;;"Assigned_document_property <=
Assigned_property.description"
;FormatProperty to Descriptor (as description);NO MAPPING;;;
;FormatProperty to DescriptorSet (as description);NO MAPPING;;;
;FormatProperty to LocalizedString (as description);NO MAPPING;;;
;FormatProperty to TranslatedStringSet (as description);NO MAPPING;;;
;FormatProperty to Identifier (as id);PATH;;;"Assigned_document_property <=
Assigned_property.id"
;FormatProperty to IdentifierSet (as id);NO MAPPING;;;
;FormatProperty to IdentifierString (as id);NO MAPPING;;;
;FormatProperty to RectangularSize (as sizeFormat);PATH;;;"Assigned_document_property <=
Assigned_property <-
{Assigned_property.id = 'size format'}
Property_representation.definition
Property_representation <=
Property_definition_representation
Property_definition_representation.used_representation ->
Representation
{[Representation.name = 'rectangular size property representation']
[Representation =>
Document_property_representation]}"
Hardcopy;;Hardcopy;;;
NamedSize;;Document_property_representation;;;"{Document_property_representation <=
Representation
Representation.name = 'named size representation'}"
;NamedSize to Class (as size);NO MAPPING;;;
;NamedSize to ClassString (as size);NO MAPPING;;;
;NamedSize to ExternalClass (as size);NO MAPPING;;;
;NamedSize to ExternalOwlClass (as size);NO MAPPING;;;
PhysicalDocumentDefinition;;Physical_document_definition;;;;;
;PhysicalDocumentDefinition to Hardcopy (as components);PATH;;;"Physical_document_definition.components ->
Hardcopy";;
RectangularSize;;Document_property_representation;;;"{Document_property_representation <=
Representation
Representation.name = 'rectangular size property representation'}";;
;RectangularSize to ValueWithUnit (as density);PATH;;;"Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = Numerical_document_property
Numerical_document_property <=
Numerical_item_with_unit
{Numerical_item_with_unit <=
Measure_item <=
Representation_item.name = 'density'} ";;
;RectangularSize to ValueWithUnit (as height);PATH;;;"Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = Numerical_document_property
Numerical_document_property <=
Numerical_item_with_unit
{Numerical_item_with_unit <=
Measure_item <=
Representation_item.name = 'height'} ";;
;RectangularSize to ValueWithUnit (as width);PATH;;;"Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = Numerical_document_property
Numerical_document_property <=
Numerical_item_with_unit
{Numerical_item_with_unit <=
Measure_item <=
Representation_item.name = 'width'} ";;
SizeProperty;;Document_property_representation;;;"{Document_property_representation <=
Representation
Representation.name = 'size property representation'}";;
;SizeProperty to CharacterString (as description);PATH;;;"Document_property_representation <=
Representation.description";;
;SizeProperty to Descriptor (as description);PATH;;;"Document_property_representation <=
Representation
/description_AS_Descriptor(Representation)/";;
;SizeProperty to DescriptorSet (as description);PATH;;;"Document_property_representation <=
Representation
/description_AS_DescriptorSet(Representation)/";;
;SizeProperty to LocalizedString (as description);PATH;;;"Document_property_representation <=
Representation
/description_AS_LocalizedString(Representation)/";;
;SizeProperty to TranslatedStringSet (as description);PATH;;;"Document_property_representation <=
Representation
/description_AS_TranslatedStringSet(Representation)/";;
;SizeProperty to ValueWithUnit (as fileSize);;;;"Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = Numerical_document_property
Numerical_document_property <=
Numerical_item_with_unit
{Numerical_item_with_unit <=
Measure_item <=
Representation_item.name = 'file size'} ";;
;SizeProperty to ValueWithUnit (as pageCount);;;;"Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = Numerical_document_property
Numerical_document_property <=
Numerical_item_with_unit
{Numerical_item_with_unit <=
Measure_item <=
Representation_item.name = 'page count'} ";;
