BO;Attribute;ARM Element;Source;Rules;Reference path
;ActivityMethodAssignment to BreakdownVersionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to CertificationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ConditionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Contract (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ContractAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DateAndPersonAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DateTimeAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Document (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DocumentAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DocumentDefinition (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DocumentDefinitionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DocumentVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DocumentVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to EffectivityAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to EventAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to File (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to FrozenAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IndividualPart (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IndividualPartVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IndividualPartVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IndividualPartView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IndividualPartViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to InformationUsageRightAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to MaterialPropertyAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ModelPropertyAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Organization (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Part (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PartVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PartVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PartView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PartViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Person (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PersonInOrganization (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ProcessOperationResourceAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ProductClass (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ProductConfiguration (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Project (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ProjectAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PropertyDefinitionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PropertyDefinitionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PropertyValueAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PropertyValueAssignmentRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to PropertyValueRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Requirement (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to RequirementAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to RequirementVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to RequirementVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to RequirementView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to RequirementViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to SecurityClassificationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to SpecificationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to SpecificationCategoryAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to SpecificationConditionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to SpecificationInclusionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to TimeIntervalAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to WorkOrderAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to WorkRequest (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to WorkRequestAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Classification (as classifiedAs);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to CharacterString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Descriptor (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to DescriptorSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to LocalizedString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to TranslatedStringSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Identifier (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IdentifierSet (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to IdentifierString (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Class (as role);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ClassString (as role);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ExternalClass (as role);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ExternalOwlClass (as role);"NO MAPPING PROVIDED";;;
