"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path";"Remarks";"Issues against ARM"
;"EffectivityAssignment to DocumentRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DocumentVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DocumentVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to EffectivityAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to EffectivityRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to EventAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to EventRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalClass (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalClassSystem (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalItem (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalOwlClass (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalOwlObject (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ExternalPropertyDefinition (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to File (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to FileRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to FrozenAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to GeometricModel (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Identifier (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IdentifierRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IdentifierSet (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IdentifierString (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to InZone (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualAssemblyRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPart (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPartRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPartVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPartVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPartView (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to IndividualPartViewRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to InformationUsageRightAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to InformationUsageRightRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to LinkMotionDecompositionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to LinkMotionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to MatedPartRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to MaterialPropertyAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ModelPropertyAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Occurrence (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to OccurrenceRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to OrganizationRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Part (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartToIndividualPartAssociation (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartView (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartViewRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PersonInOrganization (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PersonInOrganizationRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessOperationDefinition (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessOperationDefinitionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessOperationOccurrence (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessOperationOccurrenceRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessOperationResourceAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
