BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;ProductClassRelationship to ProductClass (as relating);Product_class_relationship.relating;442;;;;
;ProductClassRelationship to Class (as relationType);PATH;;;"Product_class_relationship
/TYPEINFO_AS_Class(Product_class_relationship, 'relation type')/";;
;ProductClassRelationship to ClassString (as relationType);Product_class_relationship.relation_type;442;;;;
;ProductClassRelationship to ExternalClass (as relationType);PATH;;;"Product_class_relationship
/TYPEINFO_AS_ExternalClass(Product_class_relationship, 'relation type')/";;
;ProductClassRelationship to ExternalOwlClass (as relationType);PATH;;;"Product_class_relationship
/TYPEINFO_AS_ExternalOwlClass(Product_class_relationship, 'relation type')/";;
ProductConcept;;Product_cconcept;;;;;
;ProductConcept to Classification (as classifiedAs);PATH;;;"Product_concept
/classifiedAs_AS_Classification(Product_concept)/";;
;ProductConcept to CharacterString (as description);Product_concept.description;442;;;;
;ProductConcept to Descriptor (as description);PATH;;;"Product_concept
/description_AS_Descriptor(Product_concept)/";;
;ProductConcept to DescriptorSet (as description);PATH;;;"Product_concept
/description_AS_DescriptorSet(Product_concept)/";;
;ProductConcept to LocalizedString (as description);PATH;;;"Product_concept
/description_AS_LocalizedString(Product_concept)/";;
;ProductConcept to TranslatedStringSet (as description);PATH;;;"Product_concept
/description_AS_TranslatedStringSet(Product_concept)/";;
;ProductConcept to Identifier (as id);PATH;;;"Product_concept
/id_AS_Identifier(Product_concept)/";;
;ProductConcept to IdentifierSet (as id);PATH;;;"Product_concept
/id_AS_IdentifierSet(Product_concept)/";;
;ProductConcept to IdentifierString (as id);Product_concept.id;442;exactly_one_ExchangeContext;;;
;ProductConcept to CharacterString (as name);Product_concept.name;422;;;;
;ProductConcept to Descriptor (as name);PATH;;;"Product_concept
/name_AS_Descriptor(Product_concept)/";;
;ProductConcept to DescriptorSet (as name);PATH;;;"Product_concept
/name_AS_DescriptorSet(Product_concept)/";;
;ProductConcept to LocalizedString (as name);PATH;;;"Product_concept
/name_AS_LocalizedString(Product_concept)/";;
;ProductConcept to TranslatedStringSet (as name);PATH;;;"Product_concept
/name_AS_TranslatedStringSet(Product_concept)/";;
;ProductConcept to ExternalItem (as sameAs);PATH;;;"Product_concept
/sameAs_AS_ExternalItem(Product_concept)/";;
;ProductConcept to ExternalOwlObject (as sameAs);PATH;;;"Product_concept
/sameAs_AS_ExternalOWLObject(Product_concept)/";;
;ProductConcept to Proxy (as sameAs);PATH;;;"Product_concept
/sameAs_AS_Proxy(Product_concept)/";;
;ProductConcept to ProxyString (as sameAs);PATH;;;"Product_concept
/sameAs_AS_ProxyString(Product_concept)/";;
;ProductConcept to Market (as targetMarket);Product_concept.target_market;;;;;
Specification;;Specification;442;;;;
;Specification to SpecificationCategory (as category);Specification.category;442;;;;
;Specification to Classification (as classifiedAs);PATH;;;"Specification
/classifiedAs_AS_Classification(Specification)/";;
;Specification to CharacterString (as description);Specification.description;442;;;;
;Specification to Descriptor (as description);PATH;;;"Specification
/description_AS_Descriptor(Specification)/";;
;Specification to DescriptorSet (as description);PATH;;;"Specification
/description_AS_DescriptorSet(Specification)/";;
;Specification to LocalizedString (as description);PATH;;;"Specification
/description_AS_LocalizedString(Specification)/";;
;Specification to TranslatedStringSet (as description);PATH;;;"Specification
/description_AS_TranslatedStringSet(Specification)/";;
;Specification to Identifier (as id);PATH;;;"Specification
/id_AS_Identifier(Specification)/";;
;Specification to IdentifierSet (as id);PATH;;;"Specification
/id_AS_IdentifierSet(Specification)/";;
;Specification to IdentifierString (as id);Specification.id;442;exactly_one_ExchangeContext;;;
;Specification to CharacterString (as name);Specification.name;442;;;;
;Specification to Descriptor (as name);PATH;;;"Specification
/name_AS_Descriptor(Specification)/";;
;Specification to DescriptorSet (as name);PATH;;;"Specification
/name_AS_DescriptorSet(Specification)/";;
;Specification to LocalizedString (as name);PATH;;;"Specification
/name_AS_LocalizedString(Specification)/";;
;Specification to TranslatedStringSet (as name);PATH;;;"Specification
/name_AS_TranslatedStringSet(Specification)/";;
;package;Specification.package;442;;;;
;Specification to Identifier (as versionId);PATH;;;"Specification
/versionId_AS_Identifier(Specification)/";;
;Specification to IdentifierSet (as versionId);PATH;;;"Specification
/versionId_AS_IdentifierSet(Specification)/";;
;Specification to IdentifierString (as versionId);Specification.version_id;442;exactly_one_ExchangeContext;;;
SpecificationAssignment;;Class_specification_association;442;;;;
;SpecificationAssignment to Specification (as assignedSpecification);Class_specification_association.associated_product_class;442;;;;
;SpecificationAssignment to ProductClass (as assignedTo);Class_specification_association.associated_specification;442;;;;
;SpecificationAssignment to Class (as associationType);PATH;;;"Class_specification_association
/TYPEINFO_AS_Class(Class_specification_association, 'association type')/";;
;SpecificationAssignment to ClassString (as associationType);Class_specification_association.association_type;442;;;;
;SpecificationAssignment to ExternalClass (as associationType);PATH;;;"Class_specification_association
/TYPEINFO_AS_ExternalClass(Class_specification_association, 'association type')/";;
;SpecificationAssignment to ExternalOwlClass (as associationType);PATH;;;"Class_condition_association
/TYPEINFO_AS_ExternalOwlClass(Class_specification_association, 'association type')/";;
;SpecificationAssignment to Classification (as classifiedAs);PATH;;;"Class_specification_association
/classifiedAs_AS_Classification(Class_specification_association)/";;
;SpecificationAssignment to CharacterString (as description);NO MAPPING;;;;Class_specification_association.description;.description attribute not available in the modules
;SpecificationAssignment to Descriptor (as description);PATH;;;"Class_specification_association
/description_AS_Descriptor(Class_specification_association)/";;
;SpecificationAssignment to DescriptorSet (as description);PATH;;;"Class_specification_association
/description_AS_DescriptorSet(Class_specification_association)/";;
;SpecificationAssignment to LocalizedString (as description);PATH;;;"Class_specification_association
/description_AS_LocalizedString(Class_specification_association)/";;
;SpecificationAssignment to TranslatedStringSet (as description);PATH;;;"Class_specification_association
/description_AS_TranslatedStringSet(Class_specification_association)/";;
SpecificationCategory;;Specification_category;442;;;;
;SpecificationCategory to Classification (as classifiedAs);PATH;;;"Specification_category
/classifiedAs_AS_Classification(Specification_category)/";;
;SpecificationCategory to CharacterString (as description);Specification_category.description;442;;;;
;SpecificationCategory to Descriptor (as description);PATH;;;"Specification_category
/description_AS_Descriptor(Specification_category)/";;
;SpecificationCategory to DescriptorSet (as description);PATH;;;"Specification_category
/description_AS_DescriptorSet(Specification_category)/";;
;SpecificationCategory to LocalizedString (as description);PATH;;;"Specification_category
/description_AS_LocalizedString(Specification_category)/";;
;SpecificationCategory to TranslatedStringSet (as description);PATH;;;"Specification_category
/description_AS_TranslatedStringSet(Specification_category)/";;
;SpecificationCategory to Identifier (as id);PATH;;;"Specification_category
/id_AS_Identifier(Specification_category)/";;
;SpecificationCategory to IdentifierSet (as id);PATH;;;"Specification_category
/id_AS_IdentifierSet(Specification_category)/";;
;SpecificationCategory to IdentifierString (as id);Specification_category.id;442;exactly_one_ExchangeContext;;;
;implicitExclusiveCondition;Specification_category.implicit_exclusive_condition;442;;;;
SpecificationCategoryAssignment;;Class_category_association;442;;;;
;SpecificationCategoryAssignment to SpecificationCategory (as assignedCategory);Class_category_association.associated_category;442;;;;
;SpecificationCategoryAssignment to ProductClass (as assignedTo);Class_category_association.associated_product_class;442;;;;
;SpecificationCategoryAssignment to Classification (as classifiedAs);PATH;;;"Class_category_association
/classifiedAs_AS_Classification(Class_category_association)/";;
;SpecificationCategoryAssignment to CharacterString (as description);NO MAPPING;;;;Class_category_association.description;.description attribute not available in the modules
;SpecificationCategoryAssignment to Descriptor (as description);PATH;;;"Class_category_association
/description_AS_Descriptor(Class_category_association)/";;
;SpecificationCategoryAssignment to DescriptorSet (as description);PATH;;;"Class_category_association
/description_AS_DescriptorSet(Class_category_association)/";;
;SpecificationCategoryAssignment to LocalizedString (as description);PATH;;;"Class_category_association
/description_AS_LocalizedString(Class_category_association)/";;
;SpecificationCategoryAssignment to TranslatedStringSet (as description);PATH;;;"Class_category_association
/description_AS_TranslatedStringSet(Class_category_association)/";;
;mandatory;Class_category_association.mandatory;442;;;;
SpecificationCategoryHierarchy;;Specification_category_hierarchy;442;;;;
;SpecificationCategoryHierarchy to Classification (as classifiedAs);PATH;;;"Specification_category_hierarchy
/classifiedAs_AS_Classification(Specification_category_hierarchy)/";;
;SpecificationCategoryHierarchy to CharacterString (as description);NO MAPPING;;;;Specification_category_hierarchy.description;.description attribute not available in the modules
;SpecificationCategoryHierarchy to Descriptor (as description);PATH;;;"Specification_category_hierarchy
/description_AS_Descriptor(Specification_category_hierarchy)/";;
;SpecificationCategoryHierarchy to DescriptorSet (as description);PATH;;;"Specification_category_hierarchy
/description_AS_DescriptorSet(Specification_category_hierarchy)/";;
;SpecificationCategoryHierarchy to LocalizedString (as description);PATH;;;"Specification_category_hierarchy
/description_AS_LocalizedString(Specification_category_hierarchy)/";;
;SpecificationCategoryHierarchy to TranslatedStringSet (as description);PATH;;;"Specification_category_hierarchy
/description_AS_TranslatedStringSet(Specification_category_hierarchy)/";;
;SpecificationCategoryHierarchy to SpecificationCategory (as subCategory);Specification_category_hierarchy.sub_catergory;442;;;;
;SpecificationCategoryHierarchy to SpecificationCategory (as superCategory);Specification_category_hierarchy.super_catergory;442;;;;
SpecificationConditionAssignment;;Class_condition_association;442;;;;
;SpecificationConditionAssignment to Condition (as assignedCondition);Class_condition_association.associated_category;442;;;;
;SpecificationConditionAssignment to ProductClass (as assignedTo);Class_condition_association.associated_product_class;442;;;;
;SpecificationConditionAssignment to Classification (as classifiedAs);PATH;;;"Class_condition_association
/classifiedAs_AS_Classification(Class_condition_association)/";;
;SpecificationConditionAssignment to Class (as conditionType);PATH;;;"Class_condition_association
/TYPEINFO_AS_Class(Class_specification_association, 'condition type')/";;
;SpecificationConditionAssignment to ClassString (as conditionType);Class_condition_association.condition_type;442;;;;
;SpecificationConditionAssignment to ExternalClass (as conditionType);PATH;;;"Class_condition_association
/TYPEINFO_AS_ExternalClass(Class_condition_association, 'condition type')/";;
;SpecificationConditionAssignment to ExternalOwlClass (as conditionType);PATH;;;"Class_condition_association
/TYPEINFO_AS_ExternalOwlClass(Class_condition_association, 'condition type')/";;
;SpecificationConditionAssignment to CharacterString (as description);Class_condition_association.description;442;;;;
;SpecificationConditionAssignment to Descriptor (as description);PATH;;;"Class_condition_association
/description_AS_Descriptor(Class_condition_association)/";;
;SpecificationConditionAssignment to DescriptorSet (as description);PATH;;;"Class_condition_association
/description_AS_DescriptorSet(Class_condition_association)/";;
;SpecificationConditionAssignment to LocalizedString (as description);PATH;;;"Class_condition_association
/description_AS_LocalizedString(Class_condition_association)/";;
;SpecificationConditionAssignment to TranslatedStringSet (as description);PATH;;;"Class_condition_association
/description_AS_TranslatedStringSet(Class_condition_association)/";;
SpecificationInclusion;;Specification_inclusion;442;;;;
;SpecificationInclusion to Classification (as classifiedAs);PATH;;;"Specification_inclusion
/classifiedAs_AS_Classification(Specification_inclusion)/";;
;SpecificationInclusion to CharacterString (as description);Specification_inclusion.description;442;;;;
;SpecificationInclusion to Descriptor (as description);PATH;;;"Specification_inclusion
/description_AS_Descriptor(Specification_inclusion)/";;
;SpecificationInclusion to DescriptorSet (as description);PATH;;;"Specification_inclusion
/description_AS_DescriptorSet(Specification_inclusion)/";;
;SpecificationInclusion to LocalizedString (as description);PATH;;;"Specification_inclusion
/description_AS_LocalizedString(Specification_inclusion)/";;
;SpecificationInclusion to TranslatedStringSet (as description);PATH;;;"Specification_inclusion
/description_AS_TranslatedStringSet(Specification_inclusion)/";;
;SpecificationInclusion to Identifier (as id);PATH;;;"Specification_inclusion
/id_AS_Identifier(Specification_inclusion)/";;
;SpecificationInclusion to IdentifierSet (as id);PATH;;;"Specification_inclusion
/id_AS_IdentifierSet(Specification_inclusion)/";;
;SpecificationInclusion to IdentifierString (as id);Specification_inclusion.id;442;exactly_one_ExchangeContext;;;
;SpecificationInclusion to Activity (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ActivityAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ActivityMethod (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ActivityMethodAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to AddressAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Approval (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ApprovalAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Breakdown (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElement (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementView (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementViewRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownVersionAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to CertificationAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Classification (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Condition (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ConditionAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ConditionRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ContractAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DateAndPersonAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DateTimeAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DateTimeString (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Descriptor (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Document (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DocumentAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DocumentDefinition (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DocumentDefinitionRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to DocumentVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to EffectivityAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to EventAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ExternalPropertyDefinition (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to FrozenAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Identifier (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPart (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartView (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartViewRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to InformationUsageRightAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to MaterialPropertyAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ModelPropertyAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Organization (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to OrganizationOrPersonInOrganizationAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Part (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PartVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PartView (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PartViewRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ProcessOperationResourceAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ProductConcept (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ProductConfiguration (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to ProjectAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinition (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionString (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValue (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValueAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValueRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Proxy (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Requirement (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to RequirementAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to RequirementVersion (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to RequirementView (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to RequirementViewRelationship (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to SecurityClassificationAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Specification (as ifCondition);PATH;;;"Specification_inclusion.if_condition ->
specification_operand_select
specification_operand_select = Specification
Specification";;
;SpecificationInclusion to SpecificationAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationCategoryAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationConditionAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationInclusionAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to TimeIntervalAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to WorkOrderAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to WorkRequest (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to WorkRequestAssignment (as ifCondition);NO MAPPING;;;;;
;SpecificationInclusion to Activity (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ActivityAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ActivityMethod (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ActivityMethodAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to AddressAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Approval (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ApprovalAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Breakdown (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElement (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementView (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownElementViewRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to BreakdownVersionAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to CertificationAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Classification (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Condition (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ConditionAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ConditionRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ContractAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DateAndPersonAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DateTimeAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DateTimeString (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Descriptor (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Document (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DocumentAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DocumentDefinition (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DocumentDefinitionRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to DocumentVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to EffectivityAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to EventAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ExternalPropertyDefinition (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to FrozenAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Identifier (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPart (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartView (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to IndividualPartViewRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to InformationUsageRightAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to MaterialPropertyAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ModelPropertyAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Organization (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to OrganizationOrPersonInOrganizationAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Part (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PartVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PartView (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PartViewRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ProcessOperationResourceAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ProductConcept (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ProductConfiguration (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to ProjectAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinition (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyDefinitionString (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValue (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValueAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to PropertyValueRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Proxy (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Requirement (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to RequirementAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to RequirementVersion (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to RequirementView (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to RequirementViewRelationship (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to SecurityClassificationAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to Specification (as includedSpecification);PATH;;;"Specification_inclusion.included_specification ->
specification_operand_select
specification_operand_select = Specification
Specification";;
;SpecificationInclusion to SpecificationAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationCategoryAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationConditionAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to SpecificationInclusionAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to TimeIntervalAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to WorkOrderAssignment (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to WorkRequest (as includedSpecification);NO MAPPING;;;;;
;SpecificationInclusion to WorkRequestAssignment (as includedSpecification);NO MAPPING;;;;;
SpecificationInclusionAssignment;;Class_inclusion_association;442;;;;
;SpecificationInclusionAssignment to SpecificationInclusion (as assignedInclusion);Class_inclusion_association.associated_inclusion;442;;;;
;SpecificationInclusionAssignment to ProductClass (as assignedTo);Class_inclusion_association.associated_product_class;442;;;;
;SpecificationInclusionAssignment to Classification (as classifiedAs);PATH;;;"Class_inclusion_association
/classifiedAs_AS_Classification(Class_inclusion_association)/";;
;SpecificationInclusionAssignment to CharacterString (as description);Class_inclusion_association.description;442;;;;
;SpecificationInclusionAssignment to Descriptor (as description);PATH;;;"Class_inclusion_association
/description_AS_Descriptor(Class_inclusion_association)/";;
;SpecificationInclusionAssignment to DescriptorSet (as description);PATH;;;"Class_inclusion_association
/description_AS_DescriptorSet(Class_inclusion_association)/";;
;SpecificationInclusionAssignment to LocalizedString (as description);PATH;;;"Class_inclusion_association
/description_AS_LocalizedString(Class_inclusion_association)/";;
;SpecificationInclusionAssignment to TranslatedStringSet (as description);PATH;;;"Class_inclusion_association
/description_AS_TranslatedStringSet(Class_inclusion_association)/";;
