"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"WorkRequest to PropertyValue (as scope)";"";"";"";""
"";"WorkRequest to PropertyValueAssignment (as scope)";"";"";"";""
"";"WorkRequest to PropertyValueRelationship (as scope)";"";"";"";""
"";"WorkRequest to Requirement (as scope)";"";"";"";""
"";"WorkRequest to RequirementAssignment (as scope)";"";"";"";""
"";"WorkRequest to RequirementVersion (as scope)";"";"";"";""
"";"WorkRequest to RequirementVersionRelationship (as scope)";"";"";"";""
"";"WorkRequest to RequirementView (as scope)";"";"";"";""
"";"WorkRequest to RequirementViewRelationship (as scope)";"";"";"";""
"";"WorkRequest to SecurityClassificationAssignment (as scope)";"";"";"";""
"";"WorkRequest to Specification (as scope)";"";"";"";""
"";"WorkRequest to SpecificationAssignment (as scope)";"";"";"";""
"";"WorkRequest to SpecificationCategory (as scope)";"";"";"";""
"";"WorkRequest to SpecificationCategoryAssignment (as scope)";"";"";"";""
"";"WorkRequest to SpecificationConditionAssignment (as scope)";"";"";"";""
"";"WorkRequest to SpecificationInclusion (as scope)";"";"";"";""
"";"WorkRequest to SpecificationInclusionAssignment (as scope)";"";"";"";""
"";"WorkRequest to StyledModel (as scope)";"";"";"";""
"";"WorkRequest to TimeIntervalAssignment (as scope)";"";"";"";""
"";"WorkRequest to ViewOccurrenceRelationship (as scope)";"";"";"";""
"";"WorkRequest to WorkOrderAssignment (as scope)";"";"";"";""
"";"WorkRequest to WorkRequestAssignment (as scope)";"";"";"";""
"";"WorkRequest to Class (as status)";"";"";"";""
"";"WorkRequest to ClassString (as status)";"";"";"";""
"";"WorkRequest to ExternalClass (as status)";"";"";"";""
"";"WorkRequest to ExternalOwlClass (as status)";"";"";"";""
"";"WorkRequest to Identifier (as versionId)";"";"";"";""
"";"WorkRequest to IdentifierSet (as versionId)";"";"";"";""
"";"WorkRequest to IdentifierString (as versionId)";"";"";"";""
"WorkRequestAssignment";"";"";"";"";""
"";"WorkRequestAssignment to Activity (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to ActivityMethod (as assignedTo)";"";"";"";""
