"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"DocumentAssignment to PropertyDefinitionAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyDefinitionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyDefinitionString (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyValue (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyValueAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyValueRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Proxy (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Requirement (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementSource (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementVersion (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementVersionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementView (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RequirementViewRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to RetentionPeriod (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SecurityClassification (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SecurityClassificationAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ShapeElement (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ShapeElementRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Specification (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SpecificationAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SpecificationCategory (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SpecificationCategoryAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SpecificationConditionAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SpecificationInclusionAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to SurfaceCondition (as assignedTo)";"";"";"";""
"";"DocumentAssignment to TimeInterval (as assignedTo)";"";"";"";""
"";"DocumentAssignment to TimeIntervalAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to TimeIntervalRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ViewContext (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ViewOccurrenceRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to WorkOrder (as assignedTo)";"";"";"";""
